team_id,team_name,country
6094,"Vega Squadron",Russia
6410,nEophyte,"Czech Republic"
6137,SK,Brazil
6385,Trifecta,"United States"
6405,Orgless,Europe
6113,exceL,"United Kingdom"
6109,MVP.karnal,Malaysia
5978,Skyred,Vietnam
6185,Exertus,Sweden
7018,DarkPassage,Turkey
5832,Nface.GM,China
7239,ROB,Denmark
6372,CSGL,Poland
5714,Mobility,"United States"
7137,Nocturns,Argentina
4686,"EnRo GRIFFINS",Europe
5901,"LC Staff",Norway
4532,ESC,Germany
5888,"E-frag.net Staff",Serbia
5884,"Fnatic Staff","United Kingdom"
4548,"CPH Wolves",Denmark
5680,Athletico,Australia
5617,"United Estonia","United Kingdom"
5117,"Czech Republic","Czech Republic"
6686,AGG,Poland
5176,inchk1ng,"Hong Kong"
5284,Titan,France
5310,HellRaisers,Europe
5068,Estonia,Estonia
5002,"Team Twista",Finland
7275,Vikings.Vortex,Vietnam
6807,Alpha,Denmark
4948,Clan-Mystik,France
6832,Iwku,Sweden
7283,Mighty44,Russia
6909,AG.white,China
5093,KILLERFISH,Germany
6630,Dynasty,Argentina
7013,RoyalClub,Brazil
6998,iNETKOXTV,Poland
